IndexTotAnophelesMale1,IndexTotAnophelesMale2,IndexTotAnophelesMale3,IndexTotAnophelesMale4,IndexTotAnophelesMale5,IndexTotAnophelesMale6,IndexTotAnophelesMale7,IndexTotAnophelesMale8,IndexTotAnophelesMale9,IndexTotAnophelesMale10,IndexTotAnophelesMale11,IndexTotAnophelesMale12,IndexTotAnophelesMale13,IndexTotAnophelesMale14,IndexTotAnophelesMale15,IndexTotAnophelesMale16,IndexTotAnophelesMale17,IndexTotAnophelesMale18,IndexTotAnophelesMale19,IndexTotAnophelesMale20,IndexTotAnophelesMale21,IndexTotAnophelesMale22,IndexTotAnophelesMale23,IndexTotAnophelesMale24,IndexTotAnophelesMale25,IndexTotAnophelesMale26,IndexTotAnophelesMale27,IndexTotAnophelesMale28,IndexTotAnophelesMale29,IndexTotAnophelesMale30,IndexTotAnophelesMale31,IndexTotAnophelesMale32,IndexTotAnophelesMale33,IndexTotAnophelesMale34,IndexTotAnophelesMale35,IndexTotAnophelesMale36,IndexTotAnophelesMale37,IndexTotAnophelesMale38,IndexTotAnophelesMale39,IndexTotAnophelesMale40,IndexTotAnophelesMale41,IndexTotAnophelesMale42,IndexTotAnophelesMale43,IndexTotAnophelesMale44,IndexTotAnophelesMale45,IndexTotAnophelesMale46,IndexTotAnophelesMale47,IndexTotAnophelesMale48,IndexTotAnophelesMale49,IndexTotAnophelesMale50,IndexTotAnophelesMale51,IndexTotAnophelesMale52,IndexTotAnophelesMale53,IndexTotAnophelesMale54,IndexTotAnophelesMale55,IndexTotAnophelesMale56,IndexTotAnophelesMale57,IndexTotAnophelesMale58,IndexTotAnophelesMale59,IndexTotAnophelesMale60,IndexTotAnophelesMale61,IndexTotAnophelesMale62,IndexTotAnophelesMale63,IndexTotAnophelesMale64,IndexTotAnophelesMale65
545.4821253031,86,2058,14,NaN,64.2264967067536,0,41.4273948669434,0.31514436006546,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14073674950183,0.0121477623978337,0.00126220244235332,0.00115168269257993,0.00147895262343809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883370339870453,-1,0,445.364908901604,7.89176797866821,8.52327823638916,0.24831610918045,0.0210391227155924,-0.144590571522713,-0.0399252362549305,-0.00954569224268198,0.00531915109604597,-0.019711822271347,-0.160873264074326,-0.271110504865646,-0.208997756242752,-0.01409328635782,0.166119635105133,0,0,0,1.6320181123389,2.09578339962298
508.983321318566,86,2059,15,NaN,111.413310613756,0,51.589729309082,0.371151387691498,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.41576139245049,0.00894529532908825,0.000508153972367629,0.00542176744955427,0.00145600076340248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885017991065979,1,0,419.124935664379,8.74909496307373,8.53277969360352,0.268973290920258,0.0665795430541039,-0.0742529928684235,-0.018449179828167,0.0159410145133734,0.0439317002892494,-0.0180415268987417,-0.132589757442474,-0.208833605051041,-0.158453747630119,0.00663612317293882,0.174062371253967,0,0,0,7.66873505608324,2.05941774520531
519.982960875549,86,2061,17,NaN,132.385227905757,0,23.9665908813477,0.136232018470764,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.00356916109686,0.00841864682734013,0.000469653013868767,0.00290036489392017,0.00126716520682704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883125364780426,-1,0,427.074904835306,8.42062950134277,7.27618455886841,0.182171672582626,0.0253742672502995,-0.0517992675304413,-0.0524615496397018,0.0128105413168669,0.0634799525141716,0.00338523043319583,-0.0652361586689949,-0.113190487027168,-0.0476802550256252,0.0513111241161823,0.117217063903809,0,0,0,4.11116803910618,1.79616334120409
479.484287961203,87,2065,1,NaN,61.2773208375659,0,24.7992362976074,0.14850115776062,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29583208046839,0.00922792279534599,0.000908827008125405,0.00239646438460209,0.00136640948537541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883472383022308,-1,0,397.622132354491,8.00657081604004,8.02145290374756,0.109640389680862,0.0238204095512629,0.00878448225557804,-0.0148949986323714,-0.0121336793527007,0.0369405075907707,0.0465130805969238,-0.00800112914294004,-0.0984803959727287,-0.133361801505089,-0.05015679448843,0.0306634679436684,0,0,0,3.39557203404868,1.93607794274396
515.483108329511,87,2067,3,NaN,35.390110430252,0,30.9496669769287,0.235603719949722,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03187723918961,0.0104631539605079,0.00113581599376586,0.000561361111150208,0.00178532716183161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88560152053833,-1,0,421.790263672803,8.23010635375977,8.29649257659912,0.204262092709541,0.00298593984916806,-0.05454196408391,0.00467945216223598,0.0741172060370445,0.0559071116149426,-0.00149636052083224,-0.0942515507340431,-0.100257821381092,-0.0490837916731834,0.0886019319295883,0.158622026443481,0,0,0,0.793485357286506,2.52356448058298
517.983026410643,87,2070,6,NaN,237.244814365763,0,30.1289043426514,0.221337184309959,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.33434310790292,0.0120145117619942,0.000711795002442867,0.0065100794811159,0.00211743947935023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885511219501495,1,0,425.632173919644,8.12111759185791,6.53586578369141,0.319035083055496,0.0840066000819206,-0.0360019393265247,-0.0494244024157524,-0.0127375032752752,0.039688840508461,-0.0393852293491364,-0.169828057289124,-0.226512715220451,-0.195311039686203,-0.0227936897426844,0.138379752635956,0,0,0,9.20295227772336,2.99331130072276
532.482551281211,87,2072,8,NaN,39.9777173378773,0,29.325813293457,0.148963645100594,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.898504711504326,0.0112346842036984,0.00118463040630813,0.00410455296962307,0.00161711897593565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882640838623047,1,0,436.064784470371,8.08857727050781,6.72295618057251,0.205210134387016,0.0617103800177574,-0.0126675879582763,0.00708539737388492,-0.00397980073466897,0.0194826517254114,0.0163006279617548,-0.0618212558329105,-0.134038805961609,-0.0861842706799507,0.0418568104505539,0.138477995991707,0,0,0,5.82125727990307,2.29346915018598
533.982502129891,87,2073,9,NaN,30.1471311072517,0,29.2519683837891,0.19107773900032,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02689142146055,0.0132379980497463,0.00139267714234119,0.0028482909547165,0.00147284993436188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878667652606964,1,0,437.140433889065,7.99148559570312,7.08273553848267,0.265385866165161,0.0385997407138348,-0.131722435355186,-0.0699037611484528,0.0744865611195564,0.0703440308570862,0.0140314800664783,-0.118050932884216,-0.180114433169365,-0.118657924234867,0.0364708080887794,0.16525362432003,0,0,0,4.05783757548771,2.09830593212802
632.979258142735,88,2075,2,NaN,139.266638267195,0,35.2073364257812,0.244053915143013,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.71264198250166,0.0113328079582479,0.00150352799853756,0.00790716316767557,0.00133220781572163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884737968444824,1,0,506.690891840723,6.88908863067627,7.26363563537598,0.102230809628963,-0.0228772200644016,-0.0495121590793133,-0.0401822254061699,-0.0624299310147762,-0.10802099853754,-0.134804591536522,-0.0118753043934703,0.110522396862507,0.106079079210758,0.0451993644237518,-0.000778278918005526,0,0,0,11.1877043896908,1.88491712032175
673.477931057081,88,2076,3,NaN,30.4748173149392,0,29.8209056854248,0.21717332303524,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95133196425146,0.0121167524162918,0.00145472247671735,0.00449729128740728,0.00141489261295646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883705377578735,1,0,534.352299921956,6.86892795562744,7.27801370620728,0.116475634276867,-0.0141701381653547,-0.0470943748950958,-0.00952252466231585,-0.040068369358778,-0.114860087633133,-0.135863661766052,-0.00227083545178175,0.11322233825922,0.113631784915924,0.0483698956668377,-0.00810892134904861,0,0,0,6.37057256458173,2.00424555268828
