IndexTotAedesMale1,IndexTotAedesMale2,IndexTotAedesMale3,IndexTotAedesMale4,IndexTotAedesMale5,IndexTotAedesMale6,IndexTotAedesMale7,IndexTotAedesMale8,IndexTotAedesMale9,IndexTotAedesMale10,IndexTotAedesMale11,IndexTotAedesMale12,IndexTotAedesMale13,IndexTotAedesMale14,IndexTotAedesMale15,IndexTotAedesMale16,IndexTotAedesMale17,IndexTotAedesMale18,IndexTotAedesMale19,IndexTotAedesMale20,IndexTotAedesMale21,IndexTotAedesMale22,IndexTotAedesMale23,IndexTotAedesMale24,IndexTotAedesMale25,IndexTotAedesMale26,IndexTotAedesMale27,IndexTotAedesMale28,IndexTotAedesMale29,IndexTotAedesMale30,IndexTotAedesMale31,IndexTotAedesMale32,IndexTotAedesMale33,IndexTotAedesMale34,IndexTotAedesMale35,IndexTotAedesMale36,IndexTotAedesMale37,IndexTotAedesMale38,IndexTotAedesMale39,IndexTotAedesMale40,IndexTotAedesMale41,IndexTotAedesMale42,IndexTotAedesMale43,IndexTotAedesMale44,IndexTotAedesMale45,IndexTotAedesMale46,IndexTotAedesMale47,IndexTotAedesMale48,IndexTotAedesMale49,IndexTotAedesMale50,IndexTotAedesMale51,IndexTotAedesMale52,IndexTotAedesMale53,IndexTotAedesMale54,IndexTotAedesMale55,IndexTotAedesMale56,IndexTotAedesMale57,IndexTotAedesMale58,IndexTotAedesMale59,IndexTotAedesMale60,IndexTotAedesMale61,IndexTotAedesMale62,IndexTotAedesMale63,IndexTotAedesMale64,IndexTotAedesMale65
512.483206632152,272,1335,1,NaN,82.2492381295671,0,48.2415771484375,0.3740394115448,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.95438965321252,0.0109792622306802,0.000994758034369909,0.0100142686412885,0.0019962093524205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895341277122498,1,1,546.794784648126,7.04458665847778,6.30845308303833,0.204746067523956,0.121576100587845,0.0421374812722206,-0.0268675591796637,-0.000474716216558591,-0.0387124009430408,-0.0647536739706993,-0.134330525994301,-0.165544986724854,-0.0939649790525436,-0.0139984712004662,0.0947040766477585,0,0,0,14.0012102708516,2.79095237895314
585.480814601219,272,1339,5,NaN,121.571583052069,0,26.7223510742188,0.209428429603577,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93166883467541,0.011794408147883,0.00121229467526945,0.00752798139460777,0.00153639468388926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893195152282715,1,0,627.720244835348,8.03037929534912,5.86279773712158,0.143478184938431,-0.0507754236459732,-0.0655985474586487,-0.0242052637040615,0.044222179800272,0.0357864424586296,-0.0566498674452305,-0.138979688286781,-0.106275349855423,0.0350657552480698,0.160666197538376,0.123734019696712,0,0,0,10.5503563086819,2.15323477783926
586.480781833672,272,1340,6,NaN,73.4017105220041,0,30.3315029144287,0.260330885648727,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6970741955717,0.0132268167338851,0.00124779179144649,0.0115515188435497,0.00209233230587257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895982146263123,1,0,628.832880438517,7.79527425765991,5.73470687866211,0.302578002214432,0.108467072248459,-0.0320972055196762,0.00764066586270928,0.059575229883194,0.0419511534273624,-0.0687099024653435,-0.108037188649178,-0.0264828335493803,0.0956922993063927,0.12660051882267,0.104827828705311,0,0,0,16.1389279336254,2.92325197707914
488.48399305328,272,1341,7,NaN,53.740538060753,0,37.1800689697266,0.248324796557426,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.44934281483869,0.0118970944771938,0.00190720887509892,0.0114195489269846,0.00207983868141823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894325613975525,1,0,520.320554290322,7.74100208282471,6.4004693031311,0.287135004997253,0.108783058822155,0.000408827938372269,-0.00436833407729864,0.0279286075383425,0.0322406627237797,-0.00849664118140936,-0.110274896025658,-0.142576515674591,-0.140055775642395,-0.0423360802233219,0.0560764074325562,0,0,0,15.9841014541159,2.91117912840031
604.980175634052,272,1347,13,NaN,69.4694760297539,2,NaN,0.0963954776525497,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0409119567888,0.00643003895056779,0.000387765198162264,0.0123865778388625,0.00189714193005453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898584246635437,1,1,649.436003403762,6.4375147819519,5.78295755386353,0.0427843183279037,-0.000908013840671629,-0.0102793099358678,-0.0249145682901144,-0.0283203125,-0.0115181729197502,-0.0369528159499168,-0.0456862896680832,-0.0160214342176914,0.0171946473419666,0.0359097644686699,0.0288575906306505,0,0,0,17.2554974080007,2.64287102398509
498.48366537781,272,1350,16,NaN,56.0343415145657,0,24.1330432891846,0.127955704927444,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.23461269641666,0.00877691562785659,0.001276799129125,0.0072028830440508,0.00184414156764332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8962562084198,1,0,531.343387030372,7.02686500549316,6.40208292007446,0.080768771469593,0.0345505066215992,-0.00853862427175045,-0.0253446381539106,0.0258335489779711,0.0305988360196352,0.0239560678601265,-0.0279816575348377,-0.113119080662727,-0.0691183805465698,-0.0415468476712704,0.00768687203526497,0,0,0,10.0602583388962,2.57571037465508
567.981388033292,272,1356,22,NaN,69.1417898220664,0,32.0302772521973,0.196665301918983,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.45637611243791,0.0117446488507514,0.00124083417042196,0.00658608981492844,0.00195504823403264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894602537155151,1,0,608.266661255318,7.67591381072998,6.30773496627808,0.187958121299744,0.0606619976460934,-0.0170545782893896,0.0139357214793563,0.0445747449994087,0.0478618554770947,-0.0316540896892548,-0.0951156467199326,-0.0352589413523674,0.0335762612521648,0.125312656164169,0.128555849194527,0,0,0,9.21578789229119,2.73566112068561
565.481469952159,272,1357,23,NaN,63.5711242913786,0,25.0534248352051,0.163985699415207,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.73949137927172,0.0142557766192999,0.00210833569387912,0.00690365005284548,0.00182105742860585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891151309013367,1,0,605.490301169255,7.55124664306641,6.40358638763428,0.202522471547127,0.039179615676403,-0.0128916148096323,-0.0134523371234536,0.0527223981916904,0.0716137364506721,-0.039888970553875,-0.15310837328434,-0.0918784588575363,0.0217457301914692,0.130287230014801,0.125705003738403,0,0,0,9.69755534076464,2.55803887181926
456.485041614785,272,1359,25,NaN,60.2942622145034,0,18.5152015686035,0.0815643221139908,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.13370111016635,0.00912978713576858,0.00104235386820982,0.0041654005916299,0.0016217937349881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896799683570862,1,0,483.441738993424,6.78426885604858,7.03182697296143,0.0832871049642563,0.0579157508909702,0.000548319076187909,-0.00182390143163502,-0.0181950461119413,0.0361625850200653,0.0265262946486473,0.00964013393968344,-0.0503066331148148,-0.0453236401081085,-0.054077222943306,-0.0119829131290317,0,0,0,5.81428445630166,2.26378469423009
558.481699324989,273,1363,4,NaN,56.0343415145657,0,30.9846305847168,0.23469577729702,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.498686020687196,0.0181580298668387,0.00240091047237134,0.00139141104753233,0.00159500750790661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888301193714142,-1,0,595.411996524856,7.52526903152466,7.12354183197021,0.141773581504822,-0.0158098395913839,-0.0731269493699074,-0.0386143401265144,0.00802069902420044,0.020764846354723,-0.0543715059757233,-0.157569766044617,-0.114047832787037,0.0347423329949379,0.13516603410244,0.0984693691134453,0,0,0,1.96078578034814,2.24769527782489
